,0
s18,0.008043034229731516
s122,0.007926247204326272
s137,0.007865054674779147
s13,0.007781140551756463
s1,0.007665842545300114
s233,0.007653444563049063
s226,0.007621391105971456
s33,0.007480194585967608
s133,0.007036487922299039
s30,0.006941196568633415
s116,0.006935914454605776
s106,0.006837510894341818
s107,0.006576242950166215
s16,0.00654323065601758
s8,0.006511414596817952
s229,0.006473707884626677
s4,0.006413460438767752
s118,0.00636710868187635
s232,0.006353206172508086
s136,0.006351901900656027
s123,0.0063250927088229795
s11,0.006305678124367828
s220,0.006255540060835278
s110,0.006241870920420422
s14,0.006241419628752134
s231,0.006181444167652231
s27,0.006175939780506111
s34,0.006153116067771366
s153,0.0061471089297030785
s236,0.00614215843224304
s113,0.006079214723891181
s117,0.006070511913082638
s219,0.006060596968213177
s114,0.00605070330709208
s225,0.006039773028358018
s228,0.006020151613640361
s235,0.006014740085176032
s149,0.006003687759696908
s125,0.005993635487734435
s111,0.0059837810027033285
s17,0.005932239197162385
s5,0.005900082178500747
s134,0.005837962615528949
s26,0.005831327367312937
s10,0.005827904071502432
s100,0.005812303530216523
s109,0.005807885256799176
s132,0.005804658620365097
s227,0.005794894297173968
s218,0.005787830771692154
s112,0.005785942170831197
s124,0.0057681643837791735
s108,0.005756129978041841
s6,0.005719172583015198
s135,0.0057115922276871085
s230,0.00571115414048827
s234,0.005693154652190264
s7,0.005659623323459968
s12,0.0056579936109197974
s129,0.005652896899591059
s35,0.005630362815222335
s115,0.005620862741286641
s15,0.005568872917933596
s105,0.005557275341289435
s101,0.005548838060174081
s130,0.005543906129024613
s224,0.005534911515968804
s126,0.005518454849971657
s9,0.00550879650194483
s142,0.0055036381494964325
s127,0.005498259561271118
s86,0.0054741634787082325
s128,0.005414938957056083
s214,0.005386790780735302
s211,0.005386514790055525
s21,0.005362909592327844
s145,0.005345990648631036
s182,0.00533236014487168
s146,0.005296065167502934
s131,0.005293335793612369
s95,0.005290231129846207
s93,0.005287759119874737
s152,0.005279960529398086
s222,0.005249337939968697
s92,0.005215690007565151
s24,0.005190883564555085
s217,0.00518400590973409
s216,0.005157309779347155
s103,0.005140442601616491
s183,0.005133922000523494
s88,0.005108420433762883
s96,0.005102106245992652
s212,0.0050802612028522905
s140,0.005073155114972991
s23,0.00506759035375638
s29,0.005060583811127399
s94,0.0050446913476202655
s60,0.005039070878155294
s215,0.005015444950722449
s143,0.005012826426510978
s147,0.0050109594568294395
s89,0.004988108977770718
s87,0.004967084777809714
s98,0.00496246368837019
s99,0.004951540201248462
s64,0.004942871231383501
s85,0.004942818262066605
s97,0.004939995743391689
s63,0.004939161008369865
s185,0.004923528437369094
s148,0.004869717340396715
s184,0.004848519846443888
s65,0.00483447824479597
s31,0.004817814130213398
s189,0.004803914552360908
s213,0.004792449319399749
s28,0.004783579445051368
s181,0.004770725274713968
s208,0.004766299392352911
s186,0.0047139625740931414
s191,0.004683745316700151
s197,0.004655294846348286
s83,0.0046530755812677965
s206,0.004634261705215178
s203,0.0046264670359920535
s194,0.004620466454366917
s190,0.004609995507103371
s187,0.00459984458387728
s68,0.00459411843023593
s207,0.0045737112571518565
s76,0.004558880179216145
s202,0.00454830449287611
s179,0.004532953805344668
s75,0.004532546631972461
s84,0.004522630284867668
s196,0.004517171928602242
s201,0.00451664858987319
s154,0.004516567361096732
s198,0.0045012517593724394
s32,0.0044828541233925875
s67,0.0044746369317605564
s66,0.004472571295579062
s200,0.004468626440619375
s73,0.004442403034109126
s62,0.004435576937779124
s204,0.0044344302243954446
s188,0.0044276280641426325
s70,0.004424808036770906
s19,0.004423135310454247
s195,0.004383963014802152
s205,0.004364235414431308
s199,0.0043500993739065755
s74,0.0043467661853836825
s138,0.004344972764902508
s192,0.004339226513122759
s72,0.004336942870148834
s193,0.004318826698118427
s82,0.0043135979907592895
s90,0.004307741228339137
s69,0.004290697120898906
s78,0.004273152787540838
s80,0.0042508489484126355
s79,0.004238983837334109
s77,0.004200553490907139
s71,0.004135900075769682
s144,0.004129511237000326
s104,0.004113650883212786
s81,0.0040814333433148355
s151,0.003889456672800884
s25,0.0038534329542590498
s20,0.003840792868184781
s61,0.003839283449929104
s150,0.00378593284877484
s180,0.0036755499696814907
s102,0.0036272419633073356
s139,0.0035628329103557415
s22,0.003517699270663131
s91,0.0034745061040531585
s141,0.003464642533519552
s209,0.0033818804913579963
s58,0.0033301300106377387
s221,0.003329661337194314
s223,0.0033128933197677742
s210,0.0032108931282890515
s55,0.002981665637630722
s177,0.0028708883097172825
s56,0.0028416836134832722
s57,0.0028026414052320084
s59,0.002733532614129332
s175,0.0026146483179129054
s174,0.0024718222349534628
s173,0.002397842062817444
s176,0.0023542850260468255
s178,0.002304023438345388
s165,0.0006006147389356956
s44,0.000600130175205017
s156,0.0005683421407278318
s53,0.0005330510861571416
s158,0.0005235005686050158
s159,0.0005197605644495514
s161,0.0005171616320452298
s40,0.0005168295676100732
s169,0.0005069960656446093
s36,0.0004867261401166636
s47,0.00048004740154545687
s51,0.0004651099422038196
s162,0.00046273191959178805
s48,0.00045733969129527414
s155,0.0004331400169222467
s50,0.0004250811098145158
s46,0.00042125229256877986
s163,0.0004116893790096365
s43,0.0004033249549578627
s37,0.0003927289618915209
s52,0.000389578270285612
s157,0.00038940009701042685
s166,0.0003865178735298144
s168,0.0003718013083187979
s42,0.0003698556970374563
s41,0.00035715017535649797
s38,0.00035203067252146455
s39,0.0003493162816313328
s49,0.0003480157506539639
s45,0.000342646630112209
s160,0.0003396515622260105
s171,0.0003321576828238769
s167,0.00032228828744743375
s170,0.00030247057518848375
s164,0.00029824600618702914
